PBO Station Position Time Series. Reference Frame : Unknown										
Format Version: 1.1.0										
4-character ID: P14P										
Station name  : P14P_GPS        										
First Epoch   : 20100101 115900										
Last Epoch    : 20190907 115900										
Release Date  : 20200121 081140										
NEU Reference position :    -0.9055214917  119.8367143000  137.04220 (Unknown/WGS84)										
Start Field Description										
YYYYMMDD      Year, month, day for the given position epoch										
dN            Difference in North component from NEU reference position, meters										
dE            Difference in East component from NEU reference position, meters										
du            Difference in vertical component from NEU reference position, meters										
Sn            Standard deviation of dN, meters										
Se            Standard deviation of dE, meters										
Su            Standard deviation of dU, meters										
Rne           Correlation of dN and dE										
Rnu           Correlation of dN and dU										
Reu           Correlation of dEand dU										
"Soln          ""rapid"", ""final"", ""suppl/suppf"", ""campd"", or ""repro"" corresponding to products  generated with rapid or final orbit products, in supplemental processing, campaign data processing or reprocessing"										
End Field Description										
*YYYYMMDD	dN	dE	dU	Sn	Se	Su	Rne	Rnu	Reu	Soln
20190209	-106.856	0.57757	-0.30847	0.00296	0.00376	0.01081	-0.081	-0.013	-0.016	daily
20190210	-106.467	0.57842	-0.30815	0.00258	0.00368	0.00981	-0.067	0.018	-0.091	daily
20190211	-106.728	0.57824	-0.31517	0.00307	0.00440	0.01287	-0.114	-0.007	-0.145	daily
20190212	-106.943	0.57680	-0.30757	0.00266	0.00353	0.00980	-0.021	-0.008	-0.069	daily
20190213	-106.827	0.58011	-0.31218	0.00372	0.00469	0.01527	-0.034	0.031	-0.081	daily
20190214	-106.861	0.57764	-0.30924	0.00276	0.00379	0.01093	-0.059	0.012	-0.102	daily
20190215	-107.008	0.57603	-0.30177	0.00262	0.00351	0.00969	-0.074	0.051	-0.035	daily
20190216	-106.752	0.58212	-0.30759	0.00285	0.00359	0.01073	-0.073	-0.007	-0.050	daily
20190217	-106.785	0.57834	-0.28928	0.00385	0.00485	0.01562	-0.060	0.008	0.024	daily
20190218	-106.182	0.57749	-0.30877	0.00450	0.00574	0.01923	-0.061	0.011	-0.081	daily
20190219	-107.009	0.57968	-0.30664	0.00331	0.00400	0.01163	-0.022	-0.058	-0.057	daily
20190220	-106.716	0.57714	-0.31803	0.00250	0.00312	0.00852	0.018	-0.057	-0.201	daily
20190221	-106.823	0.58299	-0.32248	0.00255	0.00330	0.00943	-0.070	0.023	-0.163	daily
20190222	-106.653	0.57717	-0.29752	0.00295	0.00404	0.01149	-0.030	-0.012	-0.132	daily
20190223	-106.859	0.58161	-0.30984	0.00277	0.00375	0.01073	-0.078	0.041	-0.128	daily
20190224	-106.604	0.57881	-0.30994	0.00329	0.00433	0.01349	-0.056	0.001	-0.154	daily
20190225	-106.843	0.57876	-0.31378	0.00270	0.00347	0.01047	-0.077	0.001	-0.090	daily
20190226	-107.107	0.57898	-0.32270	0.00307	0.00415	0.01242	-0.063	0.038	-0.086	daily
20190227	-107.216	0.57962	-0.31406	0.00265	0.00348	0.00960	-0.097	0.003	-0.077	daily
20190228	-107.462	0.57563	-0.31145	0.00313	0.00407	0.01261	-0.059	0.048	-0.072	daily
20190301	-107.077	0.57844	-0.31449	0.00253	0.00343	0.00949	-0.075	0.020	-0.113	daily
20190302	-106.818	0.57948	-0.31243	0.00262	0.00357	0.01003	0.031	-0.014	-0.116	daily
20190303	-107.152	0.58045	-0.31414	0.00349	0.00460	0.01442	-0.050	-0.021	-0.080	daily
20190304	-106.940	0.57786	-0.30164	0.00252	0.00322	0.00975	-0.056	0.002	-0.075	daily
